policy_id,n_rules_in,any_port_frac,cut_ratio_dst_port,cut_ratio_src_port,cuts_dst,cuts_port,cuts_src,deny_frac,icmp_frac,mean_dst_span,mean_src_span,n_atomic_protocols,n_rules,proto_entropy,proto_split_gain,superset_frac,n_nodes_o1,n_nodes_o2,n_nodes_o3,n_nodes_o4,n_nodes_o5,n_nodes_o6,n_nodes_o7,n_nodes_o8,n_nodes_o9,n_nodes_o10,n_nodes_o11,n_nodes_o12,tree_bytes_o1,tree_bytes_o2,tree_bytes_o3,tree_bytes_o4,tree_bytes_o5,tree_bytes_o6,tree_bytes_o7,tree_bytes_o8,tree_bytes_o9,tree_bytes_o10,tree_bytes_o11,tree_bytes_o12,peak_bytes_o1,peak_bytes_o2,peak_bytes_o3,peak_bytes_o4,peak_bytes_o5,peak_bytes_o6,peak_bytes_o7,peak_bytes_o8,peak_bytes_o9,peak_bytes_o10,peak_bytes_o11,peak_bytes_o12,conv_s_o1,conv_s_o2,conv_s_o3,conv_s_o4,conv_s_o5,conv_s_o6,conv_s_o7,conv_s_o8,conv_s_o9,conv_s_o10,conv_s_o11,conv_s_o12,match_us_mean_o1,match_us_mean_o2,match_us_mean_o3,match_us_mean_o4,match_us_mean_o5,match_us_mean_o6,match_us_mean_o7,match_us_mean_o8,match_us_mean_o9,match_us_mean_o10,match_us_mean_o11,match_us_mean_o12,best_ordering_nodes,best_ordering_bytes
3347,48,0.10638297872340426,0.7704918032786885,0.6721311475409836,47,61,41,0.425531914893617,0.14893617021276595,0.19149165338975319,0.21276760488213536,3,47,2.140456333219411,4.066666666666666,0.2127659574468085,1836,2155,1838,2201,2170,2214,3001,3521,7401,3359,4049,7407,6572696,6636792,6573272,6651320,6639896,6653592,10116904,10207784,18747304,11385704,11528488,18746440,24342453,24441546,24353237,24469709,24440533,24458357,39772302,39917585,75684865,45181732,45396277,75708216,1.6894519999623299,1.707259300048463,1.6989793999819085,1.7110495999222621,1.7226581000722945,1.7140523000853136,2.9340403999667615,2.855814400012605,4.887145500048064,3.0091689999680966,3.296089299954474,4.946601900039241,3.27701666780437,3.477916664754351,3.3605999972981713,3.5324666532687843,3.4807666670531034,3.4652999990309277,4.002433328423649,3.9581666545321545,4.855649992047499,4.181833316882451,4.361183324363083,4.803983339418967,1,1
3359,49,0.08333333333333333,0.5735294117647058,0.6323529411764706,39,68,43,0.5,0.14583333333333334,0.12500319886021316,0.1250009786017472,3,48,2.060496608056542,4.0476190476190474,0.22916666666666666,2167,2812,2161,2592,2828,2614,3235,4159,6427,3155,3763,6423,9104040,9170440,9104040,9146792,9172456,9148648,12559864,12637816,18342760,12329752,12406360,18344392,33598532,33731065,33584740,33672156,33731132,33686945,48608944,48781296,72597429,47646492,47787027,72625240,2.551977900089696,2.4973321000579745,3.0103609999641776,2.422398699913174,2.4107194000389427,2.723586400039494,3.458373000030406,3.564425399992615,5.018760500010103,4.525163299986161,3.9056569999083877,5.353967100032605,4.450533306226134,4.132749997855474,4.307199987427642,4.138983339847376,4.314816673286259,4.515783337410539,4.561216667449723,4.789899995860954,5.469449989808102,5.857499995424102,5.549716666185607,5.229833322421958,3,1
3360,93,0.16304347826086957,0.4722222222222222,0.4722222222222222,51,108,51,0.34782608695652173,0.10869565217391304,0.14130735211074352,0.2173926500760464,3,92,2.1345256928746137,4.122137404580153,0.2826086956521739,3999,4729,4002,4835,4744,4847,5171,5735,9448,5351,6101,9451,22764960,22769472,22766368,22824512,22769696,22823264,26050176,25991520,33077992,27103720,27114920,33079720,84548086,84626870,84549822,84692201,84611990,84676230,98837562,98835173,128062966,103554500,103642124,127924968,6.592542200000025,7.241303000017069,7.45852049998939,7.3379215999739245,7.315235699992627,7.6498728999868035,7.906080599990673,7.024715400068089,8.79252910008654,7.39343140006531,7.6139912999933586,8.70001319993753,,,,,,,,,,,,,1,1
3369,48,0.14893617021276595,0.703125,0.609375,45,64,39,0.48936170212765956,0.06382978723404255,0.042557108988787264,0.2340458150299147,3,47,2.1180192817300076,4.0,0.3191489361702128,2475,2606,2495,3238,2625,3237,3573,3535,6727,3257,4093,6733,11194304,11303488,11196480,11350560,11307232,11352672,14079272,14159528,17959528,13110408,13275144,17958856,41632699,41755808,41636971,41867587,41749880,41857819,54351451,54428104,69987787,49783186,50033387,70017947,3.0468708999687806,3.409369000000879,3.116289700032212,3.142029199982062,3.1580145000480115,3.1218984000151977,4.123539900057949,3.8935772998956963,4.899634800036438,3.481566100032069,3.872408099938184,4.80317530001048,,,,,,,,,,,,,1,1
3385,54,0.1509433962264151,0.5316455696202531,0.5063291139240507,42,79,40,0.4339622641509434,0.1509433962264151,0.0943425208690383,0.16981335639303444,3,53,1.9172455209049435,4.388888888888889,0.1509433962264151,1843,2210,1843,2258,2224,2272,2851,3383,5967,2926,3472,5968,6734984,6749480,6736264,6791080,6751272,6791592,9853368,9872824,15253624,9905488,9975376,15254104,24928194,24979402,24942775,25038346,24991290,25036442,38689634,38763719,61287070,38911398,39037141,61187654,1.745025199954398,2.2108953000279143,1.954077799920924,1.8243952000048012,1.9299896000884473,1.9338195000309497,3.0246913000009954,2.7830111999064684,4.221827300032601,2.759362500044517,3.2370851000305265,5.1322782000061125,,,,,,,,,,,,,1,1
3401,53,0.15384615384615385,0.7307692307692307,0.7884615384615384,38,52,41,0.5384615384615384,0.038461538461538464,0.26923225483803365,0.1923100593759535,3,52,1.9058423652727297,3.611111111111111,0.3269230769230769,2068,2596,2052,2254,2598,2272,2761,3481,5641,2976,3046,5636,8251984,8288848,8249936,8259504,8288368,8261040,10384104,10445544,14165224,10484464,10467664,14162824,30481079,30573703,30481639,30513212,30580055,30518151,39829919,39967932,55323735,40005807,39997366,55309935,2.1925741999875754,2.2247970999451354,2.2500652000308037,2.2196997000137344,2.2155627000611275,2.241782999946736,3.027902500005439,3.0447327999863774,3.7230847999453545,2.6923942000139505,2.978843400022015,3.649378699949011,,,,,,,,,,,,,3,3
3410,96,0.23157894736842105,0.5494505494505495,0.5604395604395604,50,91,51,0.47368421052631576,0.08421052631578947,0.14737037177148618,0.1473697299309271,3,95,2.1249519324696515,3.611111111111111,0.29473684210526313,4624,5722,4631,5833,5750,5854,6051,7101,9851,5587,6959,9850,27760264,28053448,27757256,27836808,28055496,27843240,33258120,33579720,39817320,31972040,32072392,39816744,103801932,104210447,103780572,103983908,104186252,103982188,127733204,128165924,156255104,122695194,122936986,156195866,7.736965099931695,7.90978989994619,7.880915599991567,7.967229200061411,8.894059399957769,8.914731600088999,9.347567999968305,9.902087199967355,11.618926299968734,9.75833389989566,9.112644399981946,11.172177799977362,,,,,,,,,,,,,1,3
3424,100,0.1414141414141414,0.5,0.48148148148148145,54,108,52,0.36363636363636365,0.050505050505050504,0.11111375246422761,0.18182097608223557,3,99,1.9274239072299526,3.673469387755102,0.24242424242424243,4346,5227,4352,5535,5250,5552,5636,6469,10438,5778,6997,10442,26661208,26903800,26658456,26755512,26904856,26760280,31064168,31297800,39507848,31730232,31786200,39505544,99428838,99762846,99431558,99649025,99722649,99608990,118341014,118661246,153510118,121186456,121367376,153390152,8.081316699972376,8.749122900073417,9.042968100053258,9.065738999983296,8.669633400044404,9.130950100021437,10.566643600002863,11.120767500018701,13.05329830001574,10.033954900107346,10.861810700036585,13.810257900040597,6.279716656232874,5.575949985844393,5.9001500097413855,5.422983337969829,7.760049988670896,8.690250028545657,7.424999998571972,7.287416665349156,7.316616654861718,7.503533328417689,7.062583327448617,7.609000022057444,1,3
3427,98,0.16494845360824742,0.5434782608695652,0.5760869565217391,50,92,53,0.4639175257731959,0.08247422680412371,0.12371372017942216,0.13402252783758817,3,97,1.9765948283182109,3.484848484848485,0.23711340206185566,4428,5736,4431,5660,5763,5684,6085,7333,10245,5587,6910,10242,27184440,27452120,27185336,27398840,27456728,27403480,33544680,33785960,41145000,32013592,32239384,41143272,101651576,102055792,101610339,101951760,102058656,101996328,129886388,130257884,162056332,122762602,123125314,161878870,8.05412020010408,8.421458900091238,8.21072540001478,8.36616239999421,9.129460399970412,8.946434199926443,10.467773599899374,11.433550200075842,12.811791299958713,9.900596600025892,9.806342200026847,11.741957199992612,,,,,,,,,,,,,1,1
3430,60,0.13559322033898305,0.5058823529411764,0.5529411764705883,43,85,47,0.4915254237288136,0.13559322033898305,0.16949335809291924,0.11864589745873365,3,59,2.059282474169593,4.427083333333334,0.2033898305084746,2110,3181,2100,2977,3207,3013,3405,5061,7407,3361,4401,7401,10325680,10588560,10323184,10528528,10594608,10537200,15660760,16059672,23309640,14565864,14807784,23310504,38423404,38796724,38433777,38727892,38805028,38727769,62457844,63028881,94236152,56834703,57182400,94206399,3.9145003999583423,3.077454000012949,3.1057213000021875,2.8037088999990374,2.835292699979618,2.861604899982922,4.848953500040807,4.801765499985777,6.426224299939349,3.972462199977599,4.319939400069416,7.2265927999978885,,,,,,,,,,,,,3,3
